"DP02_0015E","DP02_0016E","DP02_0066PE","DP02_0067PE","DP02_0071PE","DP02_0079PE","DP02_0088PE","DP02_0092PE","DP02_0101PE","DP02_0112PE","DP03_0005PE","DP03_0007PE","DP03_0009PE","DP03_0021PE","DP03_0025E","DP03_0062E","DP03_0063E","DP03_0096PE","DP03_0097PE","DP03_0098PE","DP03_0099PE","DP03_0128PE","DP04_0046PE","DP04_0047PE","DP05_0017E","DP05_0032PE","DP05_0066PE","ZCTA5"
2.47,2.93,95.4,49.5,2.7,90,96.8,3.2,0,9.1,7.1,27.2,9.8,11.4,9.4,151083,168193,89.7,88.5,19.5,10.3,0.9,69.4,30.6,52.5,97.6,0,6390
1.93,3.1,92.1,66.7,7.8,75.1,68.1,28.9,24.4,40.5,5.9,29.4,8.4,41.6,26.9,86801,158183,92.5,73,27.1,7.5,20.4,27.2,72.8,35.6,60.2,15.7,10001
2.37,3.25,67.9,32.8,15.6,90.8,52.1,41.7,6.2,63.5,5,43.9,8.9,54.3,31.5,33726,61946,90.6,44.7,51.7,9.4,30.2,13.6,86.4,40.8,29.6,26.4,10002
1.71,2.54,96.8,78.8,6,68.7,77.8,19.8,29.5,23.6,4.1,32.4,6.1,55.4,25.7,98151,161692,94.1,85.3,15.6,5.9,10.3,29.9,70.1,32.1,77.6,7.2,10003
2.05,3.01,99,86,2.2,73.6,73.4,25.4,38.6,19.1,5.2,15.6,6.1,61.1,25.5,119691,177262,93.1,91.3,5,6.9,6.8,30.9,69.1,33.1,70.6,6.7,10004
1.91,2.56,98.8,88.2,1,66.6,69.3,27.7,17.5,22.8,3.2,12.7,3.7,64.6,24.6,124194,176424,94.6,92.7,3.8,5.4,10.6,15.6,84.4,29.4,75.3,6.3,10005
1.78,2.68,99.4,85.8,0,73.7,69.6,26.2,35,25.2,2.4,10.5,2.7,53.3,23.4,123691,162688,94.8,94.1,1,5.2,8,9.3,90.7,31.4,71.9,8.9,10006
2.16,2.9,94.8,80.3,2.9,81.8,72.5,25.1,21.3,25.2,1.1,30.2,1.5,56,24.5,250001,441278,98.7,95,5.9,1.3,3.2,37.9,62.1,35.4,71.2,8.5,10007
2.02,2.95,85,58.1,12.5,84.5,68,24.3,10.7,41,3.7,34.9,5.6,57.4,31.4,59090,85207,90,62.5,33.9,10,22.8,6.8,93.2,37,59.6,25.4,10009
1.75,2.67,95.9,76.9,7.9,72.2,74.4,23.1,18.8,24.8,4.1,29.2,5.8,53.7,25.8,101718,154979,94.5,83,18.5,5.5,14.7,25.5,74.5,34.6,72.8,9.6,10010
1.71,2.66,95.4,78.3,7.8,83,77.9,20,14.7,25.7,3.8,22.9,4.9,53.8,25.1,109818,196817,94.1,83.3,19.3,5.9,8.5,34.6,65.4,39.5,79.2,10.2,10011
1.82,2.83,94.4,79.6,7.2,78.8,71.4,26.5,15.7,29.4,3.9,27.3,5.4,54.1,24.1,100859,141430,94.1,83.1,17,5.9,10.4,16.6,83.4,34.2,74.7,5.8,10012
2.21,3.01,81.4,60.5,7,83.5,64.4,33.8,7.7,39.9,3,34.8,4.5,49.5,26.4,96667,242875,93.5,74,25.3,6.5,12.4,28.8,71.2,36.9,55,7.2,10013
1.61,2.61,98.9,83.5,5.8,79.6,79.5,18.1,28.7,18.1,4.2,20.5,5.3,52.1,24.3,113973,179375,96.2,88.7,15.6,3.8,5.8,31.4,68.6,37,88.6,6.9,10014
1.73,2.69,96.5,78.5,5.7,79.2,72.1,26,21.2,30.3,3.8,24.5,5,41.5,25.9,104826,152944,94.5,86.4,16,5.5,9.9,30.3,69.7,33.4,71.9,9.5,10016
1.61,2.39,98.4,82.3,5.8,85.6,67.8,30.2,16.3,29.1,2.7,19.1,3.3,35.9,26.7,106421,160725,96.2,88.6,19.1,3.8,7.5,36.8,63.2,37.4,73.6,7.3,10017
1.92,2.8,94.1,72.6,3.6,71.8,57.8,40.5,26.5,43.9,3.6,19.4,4.4,44.7,26.6,105500,144419,91.8,82.4,11.3,8.2,14.9,9.6,90.4,30.7,58.8,17.8,10018
1.66,2.63,93.6,71.4,9.4,80.6,66.8,30.5,16.1,34.5,4.2,26.5,5.7,46.6,26.4,94022,144753,92.5,78.4,22.3,7.5,12,18.4,81.6,39.2,71.4,16.2,10019
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10020
1.81,2.73,97.7,79.9,6.2,86.2,75.8,22.5,18.8,25.2,2.1,29.5,3,44.6,29.4,115076,218180,95.4,85.6,21.2,4.6,6.4,39.2,60.8,39.5,83.6,6.7,10021
1.68,2.51,98.2,81.1,8.7,86.4,78.5,19.7,13,23.2,3.2,29.4,4.5,38.6,26.3,126378,234492,97.1,85.1,27.7,2.9,5.1,48.6,51.4,45.5,85.6,5.9,10022
1.81,2.77,97,81.2,8,84.7,75,21.9,19.3,26,3.4,30.2,4.9,61.1,28.7,111478,188600,95.5,84.5,22.1,4.5,8.1,39.4,60.6,42.1,82.2,9.7,10023
2,2.92,94.4,77.2,8.6,83.9,77.8,20.1,17.7,25.8,2.7,28.4,3.8,72.3,30.7,113839,202005,93.9,83.7,21.7,6.1,7.2,35.9,64.1,42.5,81.4,12.9,10024
2.08,3,89.8,67.8,10.6,82.1,70.1,26.1,18.2,34.6,5.2,34.9,8,67.9,32.2,74065,124739,93.5,75.1,29.6,6.5,16.3,24.1,75.9,40.3,64.9,22.2,10025
2.57,3.61,81.2,41.1,11.1,90.1,72.8,23.9,10.1,33.1,5.4,38.4,8.7,75.4,34.1,47264,79815,89.5,53.7,40.4,10.5,29.1,17.6,82.4,34.2,25.8,21.2,10026
2.5,3.35,81.9,44.5,10.2,88.2,69.5,27.3,24.4,38.1,3.5,47.3,6.6,67.3,33.3,40782,70034,89.4,56.4,38.7,10.6,31.8,14.1,85.9,30.2,28.8,23.1,10027
1.88,2.71,98.1,82.3,6.6,82.5,80,17.8,15.2,19.6,3.1,25.3,4.2,59.7,31.3,114939,203678,93.9,85.4,20.7,6.1,5,32.7,67.3,39.6,89.2,5.3,10028
2.52,3.44,75.5,32.6,12.3,89.1,65.3,26.1,10.6,56.5,7,42.5,12.1,70.2,33.9,31350,60756,85.7,44.1,47.9,14.3,30.6,6.2,93.8,33.3,30.9,49,10029
2.4,3.49,77.7,28.5,13.8,87.3,75.5,21.9,12.4,32.5,10.9,34.5,16.6,70.9,37.9,33196,53229,83.8,41.3,48,16.2,29.1,10.5,89.5,34.1,14.7,23.8,10030
2.78,3.7,72.1,30.9,11,87,56.9,40.2,9.6,59.8,7.2,32.3,10.7,77.1,39.2,39774,56924,82.5,43.8,43.3,17.5,25,10.4,89.6,33.8,28.2,52.9,10031
3.05,3.91,68.1,27.9,14.5,86.6,50,45.8,9.2,70.5,8.2,36.7,13,63.7,35.7,37280,52050,83.7,40.6,49.3,16.3,29.4,6.7,93.3,34.2,30.3,68.6,10032
3.02,3.68,70.7,34.1,11.3,88.4,49.7,46.9,11.1,72.2,9.3,32.7,13.8,65.8,40,44933,64437,85.7,46.5,44,14.3,24.9,10.2,89.8,35.8,40.6,68.8,10033
2.8,3.64,72.7,31.9,9.6,89.6,47.9,48.5,11.7,72.9,10.6,32.1,15.7,67.2,43.5,42581,59635,85.2,41.9,50.3,14.8,26.3,9,91,35.5,37.1,74.5,10034
2.4,3.48,65.2,23,17.9,89.1,67.8,25.4,7.7,49.5,5.4,47.9,10.4,74.4,33.7,27424,47759,84.4,38.8,51.1,15.6,39.5,8.2,91.8,35.2,21.3,44.9,10035
1.63,2.63,95.1,72.3,9.9,78.5,65.8,31.6,24.7,31.1,5.2,20.1,6.5,45,26.5,75966,115834,91,75.7,23,9,13.1,10.4,89.6,37,64.6,18.7,10036
2.02,3.24,85.4,38.2,15.9,90.9,82.3,16.3,11.8,26.9,7.3,40.7,12.4,74.8,37.1,35491,50691,91.3,54.9,47.2,8.7,29.1,6.9,93.1,36.1,10.8,23.9,10037
