"Median_Household_Income","Mean_Household_Income","ZCTA5"
151083,168193,"06390"
86801,158183,"10001"
33726,61946,"10002"
98151,161692,"10003"
119691,177262,"10004"
124194,176424,"10005"
123691,162688,"10006"
250001,441278,"10007"
59090,85207,"10009"
101718,154979,"10010"
109818,196817,"10011"
100859,141430,"10012"
96667,242875,"10013"
113973,179375,"10014"
104826,152944,"10016"
106421,160725,"10017"
105500,144419,"10018"
94022,144753,"10019"
NA,NA,"10020"
115076,218180,"10021"
126378,234492,"10022"
111478,188600,"10023"
113839,202005,"10024"
74065,124739,"10025"
47264,79815,"10026"
40782,70034,"10027"
114939,203678,"10028"
31350,60756,"10029"
33196,53229,"10030"
39774,56924,"10031"
37280,52050,"10032"
44933,64437,"10033"
42581,59635,"10034"
27424,47759,"10035"
75966,115834,"10036"
35491,50691,"10037"
76379,122181,"10038"
33558,52332,"10039"
46200,59397,"10040"
91383,116875,"10044"
112869,205447,"10065"
163750,231265,"10069"
111691,205405,"10075"
NA,NA,"10103"
NA,NA,"10110"
NA,NA,"10111"
NA,NA,"10112"
NA,NA,"10115"
NA,NA,"10119"
100200,172532,"10128"
NA,NA,"10152"
NA,NA,"10153"
NA,NA,"10154"
193510,216132,"10162"
NA,NA,"10165"
NA,NA,"10167"
NA,NA,"10168"
NA,NA,"10169"
NA,NA,"10170"
NA,NA,"10171"
NA,NA,"10172"
NA,NA,"10173"
NA,NA,"10174"
NA,NA,"10177"
NA,NA,"10199"
NA,NA,"10271"
NA,NA,"10278"
NA,NA,"10279"
145432,193651,"10280"
250001,318142,"10282"
54605,75227,"10301"
54170,70739,"10302"
52553,62834,"10303"
54106,82916,"10304"
72782,82951,"10305"
79686,95618,"10306"
76857,96729,"10307"
87174,98769,"10308"
87509,109210,"10309"
68080,84186,"10310"
NA,NA,"10311"
84584,102797,"10312"
77331,93457,"10314"
26048,40836,"10451"
24790,36083,"10452"
23095,33354,"10453"
20210,31533,"10454"
23253,32854,"10455"
23956,35722,"10456"
24750,36604,"10457"
27912,41474,"10458"
23761,35964,"10459"
23209,35624,"10460"
51568,68790,"10461"
45760,57940,"10462"
56482,80384,"10463"
75208,90671,"10464"
73776,85312,"10465"
42478,56348,"10466"
35117,46518,"10467"
34784,44912,"10468"
57207,70069,"10469"
57706,70509,"10470"
80222,105625,"10471"
29308,41909,"10472"
36764,51802,"10473"
26585,36171,"10474"
44923,59288,"10475"
141563,168224,"10501"
157132,195177,"10502"
NA,141105,"10503"
205912,329724,"10504"
143750,162688,"10505"
206207,302564,"10506"
64351,139167,"10507"
94226,117307,"10509"
146723,219180,"10510"
98370,112668,"10511"
90095,113216,"10512"
212528,312693,"10514"
92381,120667,"10516"
89250,111566,"10517"
187898,193774,"10518"
NA,191300,"10519"
101932,138738,"10520"
116671,156335,"10522"
87353,106451,"10523"
119583,159108,"10524"
122250,179595,"10526"
152212,164764,"10527"
105570,163962,"10528"
102317,135409,"10530"
105739,120479,"10532"
139574,238703,"10533"
53636,75193,"10535"
157875,226620,"10536"
77396,99556,"10537"
152500,241101,"10538"
107901,119542,"10541"
83827,146779,"10543"
NA,NA,"10545"
115278,166804,"10546"
94982,106680,"10547"
77059,106955,"10548"
91184,153894,"10549"
40698,55606,"10550"
70991,92459,"10552"
70513,76480,"10553"
126905,189728,"10560"
71773,102513,"10562"
52125,76305,"10566"
119521,142084,"10567"
125814,174055,"10570"
67206,108718,"10573"
172714,276246,"10576"
216250,402826,"10577"
115714,112044,"10578"
105694,125600,"10579"
156595,270400,"10580"
175123,268778,"10583"
73054,90726,"10588"
100240,141478,"10589"
131607,177402,"10590"
78388,120586,"10591"
116950,130302,"10594"
103889,127967,"10595"
54432,68625,"10596"
207895,263442,"10597"
116862,141238,"10598"
69234,112517,"10601"
91884,118545,"10603"
87396,144359,"10604"
107325,146944,"10605"
69579,102720,"10606"
130982,154160,"10607"
42238,62123,"10701"
58244,71365,"10703"
70272,82446,"10704"
45446,67600,"10705"
127632,177937,"10706"
94427,134174,"10707"
98014,160997,"10708"
95625,134250,"10709"
82324,101745,"10710"
56101,80484,"10801"
151607,240089,"10803"
161445,225824,"10804"
57672,76844,"10805"
87444,119279,"10901"
NA,NA,"10910"
NA,NA,"10911"
120929,149031,"10913"
129632,147230,"10914"
NA,NA,"10915"
105104,119872,"10916"
96077,129050,"10917"
91471,105937,"10918"
97703,98073,"10919"
103344,120333,"10920"
86071,96896,"10921"
96875,105215,"10922"
83734,97805,"10923"
90184,111640,"10924"
68125,90828,"10925"
66394,81483,"10926"
56061,80163,"10927"
77969,84974,"10928"
129477,130746,"10930"
78162,85484,"10931"
NA,NA,"10932"
97845,90375,"10933"
57007,71901,"10940"
66141,79025,"10941"
70645,91907,"10950"
55595,79502,"10952"
123600,114150,"10953"
90743,109321,"10954"
119899,148111,"10956"
103203,98481,"10958"
80141,112055,"10960"
94303,111813,"10962"
74821,83284,"10963"
83257,138846,"10964"
94352,113464,"10965"
91581,144102,"10968"
92500,124710,"10969"
82856,99088,"10970"
91250,100620,"10973"
86006,107686,"10974"
NA,125612,"10975"
46750,86696,"10976"
56598,80150,"10977"
68125,59260,"10979"
95214,115301,"10980"
113036,139197,"10983"
120341,121334,"10984"
NA,NA,"10985"
119671,148517,"10986"
97279,123043,"10987"
79375,86298,"10988"
104285,116982,"10989"
88452,118403,"10990"
84830,100547,"10992"
64627,80309,"10993"
130060,144486,"10994"
100385,114831,"10996"
98036,100366,"10998"
99691,119387,"11001"
89831,101669,"11003"
85968,99830,"11004"
58894,91016,"11005"
97741,106238,"11010"
123438,202107,"11020"
90993,137888,"11021"
106699,151730,"11023"
94243,158088,"11024"
161786,252878,"11030"
106654,125241,"11040"
NA,NA,"11042"
104261,169934,"11050"
48449,61307,"11096"
48013,77677,"11101"
51123,71031,"11102"
59243,74020,"11103"
55294,70828,"11104"
61646,79957,"11105"
54109,71621,"11106"
129505,155054,"11109"
101150,152775,"11201"
45936,58403,"11203"
46560,65150,"11204"
47575,73353,"11205"
30779,49425,"11206"
34252,47113,"11207"
35698,48043,"11208"
62761,87004,"11209"
57565,77666,"11210"
54406,84221,"11211"
28207,40177,"11212"
34701,47669,"11213"
49828,66803,"11214"
103716,144180,"11215"
47107,65962,"11216"
87091,126829,"11217"
56120,78208,"11218"
35974,52503,"11219"
38893,54640,"11220"
40635,54815,"11221"
72409,87421,"11222"
43019,64964,"11223"
28006,50455,"11224"
44911,62860,"11225"
43399,58646,"11226"
64250,87560,"11228"
52168,71111,"11229"
41068,66632,"11230"
83310,128453,"11231"
44474,60019,"11232"
33745,50071,"11233"
71115,89848,"11234"
42818,68373,"11235"
58705,72543,"11236"
44950,62004,"11237"
70873,93918,"11238"
26186,34840,"11239"
NA,NA,"11351"
44741,62568,"11354"
39168,54472,"11355"
57194,75112,"11356"
73750,91915,"11357"
65258,83944,"11358"
NA,NA,"11359"
80235,97078,"11360"
79158,93310,"11361"
86758,99502,"11362"
89219,121953,"11363"
72477,88789,"11364"
59520,79166,"11365"
72486,93774,"11366"
56557,73718,"11367"
45004,55919,"11368"
52310,67171,"11369"
53427,75046,"11370"
NA,NA,"11371"
50485,63963,"11372"
47588,62616,"11373"
52132,70852,"11374"
72414,95909,"11375"
50436,64842,"11377"
57127,74249,"11378"
71551,83602,"11379"
55331,69571,"11385"
81149,93447,"11411"
72458,82631,"11412"
81287,92538,"11413"
68374,88917,"11414"
63756,80334,"11415"
58392,72849,"11416"
62057,79020,"11417"
61480,73486,"11418"
58266,73064,"11419"
59660,79434,"11420"
60996,78211,"11421"
84955,92702,"11422"
62179,80672,"11423"
NA,NA,"11424"
NA,NA,"11425"
77146,90998,"11426"
66007,83020,"11427"
67151,75806,"11428"
68684,82902,"11429"
NA,NA,"11430"
50702,70442,"11432"
42964,59055,"11433"
58076,70071,"11434"
52686,66645,"11435"
64005,78107,"11436"
NA,NA,"11451"
89347,104018,"11501"
111875,144899,"11507"
135750,203674,"11509"
93768,107779,"11510"
97692,118835,"11514"
95720,118179,"11516"
92901,119213,"11518"
72628,87628,"11520"
139821,186680,"11530"
68647,102049,"11542"
142219,223506,"11545"
115917,132867,"11547"
100893,134403,"11548"
NA,NA,"11549"
57003,72741,"11550"
97254,117036,"11552"
70201,88451,"11553"
94214,110726,"11554"
NA,NA,"11556"
120617,173871,"11557"
72292,94824,"11558"
115252,202563,"11559"
103594,185719,"11560"
89252,112980,"11561"
85194,108933,"11563"
110110,126793,"11565"
125992,150799,"11566"
172750,335450,"11568"
110398,139466,"11569"
107442,143135,"11570"
95750,113474,"11572"
65890,79235,"11575"
152910,211523,"11576"
116667,162838,"11577"
110696,147726,"11579"
90536,106077,"11580"
100787,120373,"11581"
89083,111891,"11590"
110575,138279,"11596"
129907,175167,"11598"
42023,55708,"11691"
42127,58512,"11692"
53281,64300,"11693"
75094,100077,"11694"
93333,109500,"11697"
73494,83672,"11701"
97294,120947,"11702"
88983,97439,"11703"
81072,94879,"11704"
98321,124413,"11705"
79086,93303,"11706"
101221,123671,"11709"
106204,126629,"11710"
71101,89542,"11713"
88750,109517,"11714"
108009,115783,"11715"
79968,92804,"11716"
