"Year","Patient_Zipcode","PQI_Number","PQI_Name","Observed_Rate_Per_100000_People"
2015,"06390","PQI_01","Diabetes Short-Term Complications",0
2015,"06390","PQI_03","Diabetes Long-Term Complications",0
2015,"06390","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",0
2015,"06390","PQI_07","Hypertension",0
2015,"06390","PQI_08","Heart Failure",0
2015,"06390","PQI_10","Dehydration",0
2015,"06390","PQI_11","Bacterial Pneumonia",0
2015,"06390","PQI_12","Urinary Tract Infection",0
2015,"06390","PQI_14","Uncontrolled Diabetes",0
2015,"06390","PQI_15","Asthma in Younger Adults",0
2015,"06390","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",0
2015,"06390","PQI_90","Prevention Quality Overall Composite",0
2015,"06390","PQI_91","Prevention Quality Acute Composite",0
2015,"06390","PQI_92","Prevention Quality Chronic Composite",0
2015,"06390","PQI_S01","Prevention Quality All Diabetes Composite",0
2015,"06390","PQI_S02","Prevention Quality All Circulatory Composite",0
2015,"06390","PQI_S03","Prevention Quality All Respiratory Composite",0
2015,"10001","PQI_01","Diabetes Short-Term Complications",95.21
2015,"10001","PQI_03","Diabetes Long-Term Complications",136.02
2015,"10001","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",532.25
2015,"10001","PQI_07","Hypertension",58.94
2015,"10001","PQI_08","Heart Failure",253.9
2015,"10001","PQI_10","Dehydration",136.02
2015,"10001","PQI_11","Bacterial Pneumonia",149.62
2015,"10001","PQI_12","Urinary Tract Infection",126.95
2015,"10001","PQI_14","Uncontrolled Diabetes",22.67
2015,"10001","PQI_15","Asthma in Younger Adults",54.69
2015,"10001","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",18.14
2015,"10001","PQI_90","Prevention Quality Overall Composite",1287.63
2015,"10001","PQI_91","Prevention Quality Acute Composite",412.59
2015,"10001","PQI_92","Prevention Quality Chronic Composite",875.05
2015,"10001","PQI_S01","Prevention Quality All Diabetes Composite",258.43
2015,"10001","PQI_S02","Prevention Quality All Circulatory Composite",321.91
2015,"10001","PQI_S03","Prevention Quality All Respiratory Composite",294.7
2015,"10002","PQI_01","Diabetes Short-Term Complications",59.23
2015,"10002","PQI_03","Diabetes Long-Term Complications",150.25
2015,"10002","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",492.69
2015,"10002","PQI_07","Hypertension",37.56
2015,"10002","PQI_08","Heart Failure",245.59
2015,"10002","PQI_10","Dehydration",89.57
2015,"10002","PQI_11","Bacterial Pneumonia",171.92
2015,"10002","PQI_12","Urinary Tract Infection",180.58
2015,"10002","PQI_14","Uncontrolled Diabetes",23.11
2015,"10002","PQI_15","Asthma in Younger Adults",47.43
2015,"10002","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",17.34
2015,"10002","PQI_90","Prevention Quality Overall Composite",1291.53
2015,"10002","PQI_91","Prevention Quality Acute Composite",442.07
2015,"10002","PQI_92","Prevention Quality Chronic Composite",849.47
2015,"10002","PQI_S01","Prevention Quality All Diabetes Composite",241.26
