PQI Number,PQI Name,Measure Description
PQI 01,Diabetes Short-Term Complications,"Admissions for a principal diagnosis of diabetes with short-term complications (ketoacidosis, hyperosmolarity, or coma) per 100,000 population, ages 18 years and older.  Excludes obstetric admissions and transfers from other institutions."
PQI 03,Diabetes Long-Term Complications,"Admissions for a principal diagnosis of diabetes with long-term complications (renal, eye, neurological, circulatory, or complications not otherwise specified) per 100,000 population, ages 18 years and older.  Excludes obstetric admissions and transfers from other institutions."
PQI 05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,"Admissions with a principal diagnosis of chronic obstructive pulmonary disease (COPD) or asthma per 100,000 population, ages 40 years and older.  Excludes obstetric admissions and transfers from other institutions."
PQI 07,Hypertension,"Admissions with a principal diagnosis of hypertension per 100,000 population, ages 18 years and older.  Excludes kidney disease combined with dialysis access procedure admissions, cardiac procedure admissions, obstetric admissions, and transfers from other institutions."
PQI 08,Heart Failure,"Admissions with a principal diagnosis of heart failure per 100,000 population, ages 18 years and older.  Excludes cardiac procedure admissions, obstetric admissions, and transfers from other institutions."
PQI 10,Dehydration,"Admissions with a principal diagnosis of dehydration per 100,000 population, ages 18 years and older.  Excludes obstetric admissions and transfers from other institutions."
PQI 11,Bacterial Pneumonia,"Admissions with a principal diagnosis of bacterial pneumonia per 100,000 population, ages 18 years and older.  Excludes sickle cell or hemoglobin-S admissions, other indications of immunocompromised state admissions, obstetric admissions, and transfers from other institutions."
PQI 12,Urinary Tract Infection,"Admissions with a principal diagnosis of urinary tract infection per 100,000 population, ages 18 years and older.  Excludes kidney or urinary tract disorder admissions, other indications of immunocompromised state admissions, obstetric admissions, and transfers from other institutions."
PQI 14,Uncontrolled Diabetes,"Admissions for a principal diagnosis of diabetes without mention of short-term (ketoacidosis, hyperosmolarity, or coma) or long-term (renal, eye, neurological, circulatory, or other unspecified) complications per 100,000 population, ages 18 years and older.  Excludes obstetric admissions and transfers from other institutions."
PQI 15,Asthma in Younger Adults,"Admissions for a principal diagnosis of asthma per 100,000 population, ages 18 to 39 years.  Excludes admissions with an indication of cystic fibrosis or anomalies of the respiratory system, obstetric admissions, and transfers from other institutions."
PQI 16,Lower-Extremity Amputation among Patients with Diabetes,"Admissions for any-listed diagnosis of diabetes and any-listed procedure of lower-extremity amputation (except toe amputations) per 100,000 population, ages 18 years and older.  Excludes any-listed diagnosis of traumatic lower-extremity amputation admissions, obstetric admissions, and transfers from other institutions. "
PQI 90,Prevention Quality Overall Composite,"Prevention Quality Indicators (PQI) overall composite per 100,000 population, ages 18 years and older.  Includes admissions for one of the following conditions: diabetes with short-term complications, diabetes with long-term complications, uncontrolled diabetes without complications, diabetes with lower-extremity amputation, chronic obstructive pulmonary disease, asthma, hypertension, heart failure, dehydration, bacterial pneumonia, or urinary tract infection."
PQI 91,Prevention Quality Acute Composite,"Prevention Quality Indicators (PQI) composite of acute conditions per 100,000 population, ages 18 years and older.  Includes admissions with a principal diagnosis of one of the following conditions: dehydration, bacterial pneumonia, or urinary tract infection."
PQI 92,Prevention Quality Chronic Composite,"Prevention Quality Indicators (PQI) composite of chronic conditions per 100,000 population, ages 18 years and older.  Includes admissions for one of the following conditions: diabetes with short-term complications, diabetes with long-term complications, uncontrolled diabetes without complications, diabetes with lower-extremity amputation, chronic obstructive pulmonary disease, asthma, hypertension, or heart failure without a cardiac procedure."
PQI S01,Prevention Quality All Diabetes Composite,
PQI S02,Prevention Quality All Circulatory Composite,
PQI S03,Prevention Quality All Respiratory Composite,
